,Make,Model,Trim,Rebate-Fed,Year-Fed,Category,Eligibility
75,Kia,Niro PHEV,"EX Premium
			SX","$2,500",2019,PHEV,2019-05-01
76,Kia,Optima PHEV,"EX
			EX Premium","$2,500","2017/
			2018/
			2019/
			2020",PHEV,2019-05-01
77,Kia,Soul EV,"EV
			EV Luxury
			EV Luxury Sunroof
			EV Premium
			EV Limited","$5,000","2017/
			2018/
			2019/
			2020",BEV,2019-05-01
78,Lexus,NX 450h+, ,"$5,000",2022,PHEV,2022-04-25
79,Lincoln,Corsair,Grand Touring,"$2,500",2022,PHEV,2022-04-25
80,Lincoln,Corsair,Grand Touring,"$2,500",2021,PHEV,2022-04-25
81,Mazda,MX-30,"GS
			GT","$5,000",2022,BEV,2021-09-16
82,MINI,3 Door Hatch,Cooper SE,"$5,000",2023,BEV,2022-04-07
83,MINI,Countryman All4,Cooper SE,"$2,500",2023,PHEV,2022-04-07
84,MINI,3 Door,Cooper SE,"$5,000",2022,BEV,2021-03-04
85,MINI,Countryman,Cooper SE All4,"$2,500",2022,PHEV,2021-03-16
86,MINI,Countryman,Cooper SE All4,"$2,500",2021,PHEV,2020-09-18
87,MINI,Cooper SE 3 Door,"Classic
			Premier
			Premier+","$5,000","2020/
			2021",BEV,2020-02-13
88,MINI,Countryman,"Cooper S E All4
			Cooper SE All4","$2,500","2018/
			2019/
			2020",PHEV,2019-05-01
89,Mitsubishi,Outlander PHEV,"SE
			LE
			Black Edition
			GT","$2,500",2022,PHEV,2021-07-06
90,Mitsubishi,Outlander PHEV,"SE
			LE
			SEL
			GT","$2,500",2021,PHEV,2021-03-15
91,Mitsubishi,Outlander PHEV,"SE
			LE
			SEL
			GT","$2,500",2020,PHEV,2019-08-26
92,Mitsubishi,Outlander PHEV,"SE-Base
			SE Limited Edition
			SE Touring
			GT","$2,500","2018/
			2019",PHEV,2019-05-01
93,Mitsubishi,i-MiEV,ES,"$5,000",2017,BEV,2019-08-26
94,Nissan,Leaf,"SV
			SV Plus
			SL Plus","$5,000",2023,BEV,2022-04-13
95,Nissan,Leaf,"SV
			S Plus
			SV Plus
			SL Plus","$5,000",2022,BEV,2021-08-23
96,Nissan,Leaf,"SV
			S Plus
			SV Plus
			SL Plus","$5,000",2021,BEV,2020-11-20
97,Nissan,Leaf,"S
			SV
			S Plus
			SV Plus
			SL Plus","$5,000",2020,BEV,2020-01-09
98,Nissan,Leaf,"S
			SV
			SL
			S Plus
			SV Plus
			SL Plus","$5,000",2018/2019,BEV,2019-05-01
99,Polestar,2,"LRSM
			LRDM","$5,000",2023,BEV,2022-04-25
100,smart,EQ fortwo coupe,-,"$5,000","2018/
			2019",BEV,2019-05-01
101,smart,EQ fortwo cabriolet,-,"$5,000","2018/
			2019",BEV,2019-05-01
102,smart,fortwo electric drive cabriolet,-,"$5,000","2017/
			2018",BEV,2019-05-01
103,smart,fortwo electric drive coupe,-,"$5,000","2017/
			2018",BEV,2019-05-01
104,Subaru,Crosstrek Plug-In Hybrid,PHEV,"$2,500",2023,PHEV,2022-08-12
105,Subaru,Crosstrek Plug-In Hybrid,PHEV,"$2,500",2022,PHEV ,2022-01-17
106,Subaru,Crosstrek Plug-In Hybrid,Limited,"$2,500",2021,PHEV,2020-11-10
107,Subaru,Crosstrek Plug-In Hybrid,Limited,"$2,500",2020,PHEV,2020-01-08
108,Toyota,Mirai,XLE,"$5,000",2022,FCEV,2022-04-25
109,Toyota,Prius Prime,"Base
			Technology","$2,500",2022,PHEV,2021-06-22
110,Toyota,RAV4 Prime,"SE
			XSE","$5,000",2022,PHEV,2022-01-21
111,Toyota,Prius Prime,"Base
			Upgrade","$2,500",2021,PHEV,2020-07-20
112,Toyota,RAV4 Prime,"SE
			XSE","$5,000",2021,PHEV,2020-08-12
113,Toyota,Prius Prime,"Base
			Upgrade
			Technology","$2,500",2020,PHEV,2019-06-06
114,Toyota,Prius Prime,"Base
			Upgrade
			Technology","$2,500","2018/
			2019",PHEV,2019-05-01
115,Volkswagen,ID.4,"Pro
			AWD Pro","$5,000",2022,BEV,2022-04-25
116,Volkswagen,ID.4,"Pro
			AWD Pro","$5,000",2021,BEV,2021-03-30
117,Volkswagen,e-Golf,Comfortline,"$5,000",2020,BEV,2019-10-17
118,Volkswagen,e-Golf,Comfortline,"$5,000",2019,BEV,2019-05-01
119,Volkswagen,e-Golf,Comfortline,"$5,000","2017/
			2018",BEV,2019-09-16
120,Volvo,C40,Recharge,"$5,000",2023,BEV,2022-08-16
121,Volvo,XC40,Recharge,"$5,000",2023,BEV,2022-08-16
122,Volvo,V60 Recharge,R Design (Extended Range),"$5,000",2022,PHEV,2022-04-25
123,Volvo,XC40 Recharge, ,"$5,000",2022,BEV,2022-04-25
