,Make,Model,Trim,Rebate-Fed,Year-Fed,Category,Eligibility
227,Kia,Soul EV,EV,"$5,000",2019,BEV,2019-05-01
228,Kia,Soul EV,EV,"$5,000",2020,BEV,2019-05-01
229,Kia,Optima PHEV,EX Premium,"$2,500",2017,PHEV,2019-05-01
230,Kia,Optima PHEV,EX Premium,"$2,500",2018,PHEV,2019-05-01
231,Kia,Optima PHEV,EX Premium,"$2,500",2019,PHEV,2019-05-01
232,Lexus,NX 450h+, ,"$5,000",2022,PHEV,2022-04-25
233,Lincoln,Corsair,Grand Touring,"$2,500",2022,PHEV,2022-04-25
234,Lincoln,Corsair,Grand Touring,"$2,500",2021,PHEV,2022-04-25
235,MINI,Countryman,Cooper SE All4,"$2,500",2020,PHEV,2019-05-01
236,MINI,Countryman All4,Cooper SE,"$2,500",2023,PHEV,2022-04-07
237,MINI,Countryman,Cooper SE All4,"$2,500",2022,PHEV,2021-03-16
238,MINI,Countryman,Cooper SE All4,"$2,500",2021,PHEV,2020-09-18
239,MINI,3 Door Hatch,Cooper SE,"$5,000",2023,BEV,2022-04-07
240,MINI,3 Door,Cooper SE,"$5,000",2022,BEV,2021-03-04
241,MINI,Cooper SE 3 Door,Classic,"$5,000",2020,BEV,2020-02-13
242,MINI,Cooper SE 3 Door,Classic,"$5,000",2021,BEV,2020-02-13
243,MINI,Cooper SE 3 Door,Premier,"$5,000",2020,BEV,2020-02-13
244,MINI,Cooper SE 3 Door,Premier,"$5,000",2021,BEV,2020-02-13
245,MINI,Countryman,Cooper SE All4,"$2,500",2018,PHEV,2019-05-01
246,MINI,Countryman,Cooper SE All4,"$2,500",2019,PHEV,2019-05-01
247,MINI,Cooper SE 3 Door,Premier+,"$5,000",2020,BEV,2020-02-13
248,MINI,Countryman,Cooper S E All4,"$2,500",2019,PHEV,2019-05-01
249,MINI,Countryman,Cooper S E All4,"$2,500",2020,PHEV,2019-05-01
250,MINI,Cooper SE 3 Door,Premier+,"$5,000",2021,BEV,2020-02-13
251,MINI,Countryman,Cooper S E All4,"$2,500",2018,PHEV,2019-05-01
252,Mazda,MX-30,GS,"$5,000",2022,BEV,2021-09-16
253,Mazda,MX-30,GT,"$5,000",2022,BEV,2021-09-16
254,Mitsubishi,Outlander PHEV,SE Limited Edition,"$2,500",2018,PHEV,2019-05-01
255,Mitsubishi,Outlander PHEV,SE Limited Edition,"$2,500",2019,PHEV,2019-05-01
256,Mitsubishi,Outlander PHEV,SE-Base,"$2,500",2018,PHEV,2019-05-01
257,Mitsubishi,Outlander PHEV,SE-Base,"$2,500",2019,PHEV,2019-05-01
258,Mitsubishi,Outlander PHEV,GT,"$2,500",2018,PHEV,2019-05-01
259,Mitsubishi,Outlander PHEV,GT,"$2,500",2019,PHEV,2019-05-01
260,Mitsubishi,Outlander PHEV,SE Touring,"$2,500",2018,PHEV,2019-05-01
261,Mitsubishi,Outlander PHEV,SE Touring,"$2,500",2019,PHEV,2019-05-01
262,Mitsubishi,Outlander PHEV,Black Edition,"$2,500",2022,PHEV,2021-07-06
263,Mitsubishi,Outlander PHEV,GT,"$2,500",2022,PHEV,2021-07-06
264,Mitsubishi,Outlander PHEV,GT,"$2,500",2020,PHEV,2019-08-26
265,Mitsubishi,Outlander PHEV,LE,"$2,500",2020,PHEV,2019-08-26
266,Mitsubishi,Outlander PHEV,SE,"$2,500",2020,PHEV,2019-08-26
267,Mitsubishi,Outlander PHEV,GT,"$2,500",2021,PHEV,2021-03-15
268,Mitsubishi,Outlander PHEV,LE,"$2,500",2021,PHEV,2021-03-15
269,Mitsubishi,Outlander PHEV,SE,"$2,500",2021,PHEV,2021-03-15
270,Mitsubishi,Outlander PHEV,LE,"$2,500",2022,PHEV,2021-07-06
271,Mitsubishi,Outlander PHEV,SE,"$2,500",2022,PHEV,2021-07-06
272,Mitsubishi,Outlander PHEV,SEL,"$2,500",2021,PHEV,2021-03-15
273,Mitsubishi,i-MiEV,ES,"$5,000",2017,BEV,2019-08-26
274,Mitsubishi,Outlander PHEV,SEL,"$2,500",2020,PHEV,2019-08-26
275,Nissan,Leaf,SV Plus,"$5,000",2020,BEV,2020-01-09
276,Nissan,Leaf,SV Plus,"$5,000",2022,BEV,2021-08-23
277,Nissan,Leaf,SV,"$5,000",2023,BEV,2022-04-13
278,Nissan,Leaf,SL Plus,"$5,000",2023,BEV,2022-04-13
279,Nissan,Leaf,SV,"$5,000",2022,BEV,2021-08-23
280,Nissan,Leaf,S Plus,"$5,000",2020,BEV,2020-01-09
281,Nissan,Leaf,SV Plus,"$5,000",2023,BEV,2022-04-13
282,Nissan,Leaf,S Plus,"$5,000",2018,BEV,2019-05-01
283,Nissan,Leaf,S Plus,"$5,000",2019,BEV,2019-05-01
284,Nissan,Leaf,SV Plus,"$5,000",2018,BEV,2019-05-01
285,Nissan,Leaf,SV Plus,"$5,000",2019,BEV,2019-05-01
286,Nissan,Leaf,SL Plus,"$5,000",2018,BEV,2019-05-01
287,Nissan,Leaf,SL Plus,"$5,000",2019,BEV,2019-05-01
288,Nissan,Leaf,SL,"$5,000",2018,BEV,2019-05-01
289,Nissan,Leaf,SL,"$5,000",2019,BEV,2019-05-01
290,Nissan,Leaf,SV,"$5,000",2018,BEV,2019-05-01
291,Nissan,Leaf,SV,"$5,000",2019,BEV,2019-05-01
